"gene_id","gene_name","gene_type","Individuals","Tissue","Residual","n.isoforms"
"ENSG00000134452.12","FBXO18","protein_coding",0.092317676,0.142978272,0.764704052,19
"ENSG00000134453.9","RBM17","protein_coding",0.098861392,0.147628653,0.753509954,13
"ENSG00000134463.10","ECHDC3","protein_coding",0.097144551,0.147411627,0.755443821,5
"ENSG00000134470.12","IL15RA","protein_coding",0.097407329,0.078834359,0.823758312,19
"ENSG00000134480.9","CCNH","protein_coding",0.110508888,0.109096401,0.780394711,10
"ENSG00000134490.8","TMEM241","protein_coding",0.107623534,0.066793963,0.825582503,10
"ENSG00000134508.7","CABLES1","protein_coding",0.106556101,0.194598572,0.698845327,3
"ENSG00000134516.10","DOCK2","protein_coding",0.092497621,0.134169497,0.773332881,18
"ENSG00000134531.5","EMP1","protein_coding",0.091825952,0.149210029,0.75896402,12
"ENSG00000134571.6","MYBPC3","protein_coding",0.081864605,0.117859547,0.800275847,4
"ENSG00000134574.7","DDB2","protein_coding",0.116270549,0.16467927,0.71905018,4
"ENSG00000134575.4","ACP2","protein_coding",0.111678673,0.08122085,0.807100478,16
"ENSG00000134590.9","FAM127A","protein_coding",0.223086782,0.116008591,0.660904627,3
"ENSG00000134597.8","RBMX2","protein_coding",0.08655294,0.060387025,0.853060035,5
"ENSG00000134602.11","MST4","protein_coding",0.089245203,0.144123136,0.766631661,5
"ENSG00000134627.7","PIWIL4","protein_coding",0.087759452,0.092729768,0.81951078,5
"ENSG00000134644.10","PUM1","protein_coding",0.09932329,0.079798073,0.820878637,26
"ENSG00000134684.6","YARS","protein_coding",0.098614708,0.163343063,0.738042229,9
"ENSG00000134686.11","PHC2","protein_coding",0.112138708,0.104297602,0.783563691,15
"ENSG00000134690.6","CDCA8","protein_coding",0.067066617,0.124981378,0.807952004,2
"ENSG00000134697.6","GNL2","protein_coding",0.090904262,0.066202979,0.842892759,11
"ENSG00000134698.10","EIF2C4","protein_coding",0.116247394,0.067173876,0.81657873,3
"ENSG00000134709.6","HOOK1","protein_coding",0.060789179,0.14343805,0.79577277,7
"ENSG00000134717.13","BTF3L4","protein_coding",0.092565854,0.135929589,0.771504556,8
"ENSG00000134744.9","ZCCHC11","protein_coding",0.088368881,0.075944622,0.835686497,21
"ENSG00000134748.11","PRPF38A","protein_coding",0.114331778,0.108725432,0.77694279,3
"ENSG00000134755.9","DSC2","protein_coding",0.078881107,0.159927127,0.761191766,4
"ENSG00000134758.8","RNF138","protein_coding",0.066390498,0.118853979,0.814755523,2
"ENSG00000134759.9","ELP2","protein_coding",0.108724957,0.080396767,0.810878276,28
"ENSG00000134769.14","DTNA","protein_coding",0.074443352,0.273352326,0.652204322,16
"ENSG00000134779.8","TPGS2","protein_coding",0.082581699,0.175557221,0.74186108,2
"ENSG00000134780.5","DAGLA","protein_coding",0.081143022,0.18365028,0.735206698,2
"ENSG00000134802.12","SLC43A3","protein_coding",0.099548335,0.083656938,0.816794727,26
"ENSG00000134809.4","TIMM10","protein_coding",0.082014585,0.072026662,0.845958754,3
"ENSG00000134815.12","DHX34","protein_coding",0.072373181,0.170336048,0.75729077,6
